Valores de las variables nacimientos
Valor,Código,Etiqueta
,0512,San Vicente Pacaya
,0513,Nueva Concepción
,0514,Sipacate
,0601,Cuilapa
,0602,Barberena
,0603,Santa Rosa de Lima
,0604,Casillas
,0605,San Rafael las Flores
,0606,Oratorio
,0607,San Juan Tecuaco
,0608,Chiquimulilla
,0609,Taxisco
,0610,Santa María Ixhuatán
,0611,Guazacapán
,0612,Santa Cruz Naranjo
,0613,Pueblo Nuevo Viñas
,0614,Nueva Santa Rosa
,0701,Sololá
,0702,San José Chacayá
,0703,Santa María Visitación
,0704,Santa Lucía Utatlán
,0705,Nahualá
,0706,Santa Catarina Ixtahuacán
,0707,Santa Clara la Laguna
,0708,Concepción
,0709,San Andrés Semetabaj
,0710,Panajachel
,0711,Santa Catarina Palopó
,0712,San Antonio Palopó
,0713,San Lucas Tolimán
,0714,Santa Cruz la Laguna
,0715,San Pablo la Laguna
,0716,San Marcos la Laguna
,0717,San Juan la Laguna
,0718,San Pedro la Laguna
,0719,Santiago Atitlán
,0801,Totonicapán
,0802,San Cristóbal Totonicapán
,0803,San Francisco el Alto
,0804,San Andrés Xecul
,0805,Momostenango
,0806,Santa María Chiquimula
,0807,Santa Lucía la Reforma
,0808,San Bartolo
,0901,Quetzaltenango
,0902,Salcajá
,0903,Olintepeque
,0904,San Carlos Sija
,0905,Sibilia
,0906,Cabricán
,0907,Cajolá
,0908,San Miguel Siguilá
,0909,Ostuncalco
,0910,San Mateo
,0911,Concepción Chiquirichapa
,0912,San Martín Sacatepéquez
,0913,Almolonga
,0914,Cantel
,0915,Huitán
,0916,Zunil
,0917,Colomba
,0918,San Francisco la Unión
,0919,El Palmar
,0920,Coatepeque
,0921,Génova
,0922,Flores Costa Cuca
,0923,La Esperanza
,0924,Palestina de los Altos
,1001,Mazatenango
,1002,Cuyotenango
,1003,San Francisco Zapotitlán
,1004,San Bernardino
,1005,San José el Idolo
,1006,Santo Domingo Suchitepéquez
,1007,San Lorenzo
,1008,Samayac
,1009,San Pablo Jocopilas
,1010,San Antonio Suchitepéquez
,1011,San Miguel Panán
,1012,San Gabriel
,1013,Chicacao
,1014,Patulul
,1015,Santa Bárbara
,1016,San Juan Bautista
,1017,Santo Tomás la Unión
,1018,Zunilito
,1019,Pueblo Nuevo
,1020,Río Bravo
,1021,San José La Máquina
,1101,Retalhuleu
,1102,San Sebastián
,1103,Santa Cruz Muluá
,1104,San Martín Zapotitlán
,1105,San Felipe
,1106,San Andrés Villa Seca
,1107,Champerico
,1108,Nuevo San Carlos
,1109,El Asintal
,1201,San Marcos
,1202,San Pedro Sacatepéquez
,1203,San Antonio Sacatepéquez
,1204,Comitancillo
,1205,San Miguel Ixtahuacán
,1206,Concepción Tutuapa
,1207,Tacaná
,1208,Sibinal
,1209,Tajumulco
,1210,Tejutla
,1211,San Rafael Pié de la Cuesta
,1212,Nuevo Progreso
,1213,El Tumbador
,1214,El Rodeo
,1215,Malacatán
,1216,Catarina
,1217,Ayutla
,1218,Ocós
,1219,San Pablo
,1220,El Quetzal
,1221,La Reforma
,1222,Pajapita
,1223,Ixchiguán
,1224,San José Ojetenán
,1225,San Cristóbal Cucho
,1226,Sipacapa
,1227,Esquipulas Palo Gordo
,1228,Río Blanco
,1229,San Lorenzo
,1230,La Blanca
,1301,Huehuetenango
,1302,Chiantla
,1303,Malacatancito
,1304,Cuilco
,1305,Nentón
,1306,San Pedro Necta
,1307,Jacaltenango
,1308,Soloma
,1309,Ixtahuacán
,1310,Santa Bárbara
,1311,La Libertad
,1312,La Democracia
,1313,San Miguel Acatán
,1314,San Rafael la Independencia
,1315,Todos Santos Cuchumatán
,1316,San Juan Atitán
,1317,Santa Eulalia
,1318,San Mateo Ixtatán
,1319,Colotenango
,1320,San Sebastián Huehuetenango
,1321,Tectitán
,1322,Concepción Huista
,1323,San Juan Ixcoy
,1324,San Antonio Huista
,1325,San Sebastián Coatán
,1326,Barillas
,1327,Aguacatán
,1328,San Rafael Petzal
,1329,San Gaspar Ixchil
,1330,Santiago Chimaltenango
,1331,Santa Ana Huista
,1332,Unión Cantinil
,1333,Petatán
,1401,Santa Cruz del Quiché
,1402,Chiché
,1403,Chinique
,1404,Zacualpa
,1405,Chajul
,1406,Chichicastenango
,1407,Patzité
,1408,San Antonio Ilotenango
,1409,San Pedro Jocopilas
,1410,Cunén
,1411,San Juan Cotzal
,1412,Joyabaj
,1413,Nebaj
,1414,San Andrés Sajcabajá
,1415,Uspantán
,1416,Sacapulas
,1417,San Bartolomé Jocotenango
,1418,Canillá
,1419,Chicamán
,1420,Ixcán
,1421,Pachalum
,1501,Salamá
,1502,San Miguel Chicaj
,1503,Rabinal
,1504,Cubulco
,1505,Granados
,1506,El Chol
,1507,San Jerónimo
,1508,Purulhá
,1601,Cobán
,1602,Santa Cruz Verapaz
,1603,San Cristóbal Verapaz
,1604,Tactic
,1605,Tamahú
,1606,Tucurú
,1607,Panzós
,1608,Senahú
,1609,San Pedro Carchá
,1610,San Juan Chamelco
,1611,Lanquín
,1612,Cahabón
,1613,Chisec
,1614,Chahal
,1615,Fray Bartolomé de las Casas
,1616,Santa Catalina la Tinta
,1617,Raxruhá
,1701,Flores
,1702,San José
,1703,San Benito
,1704,San Andrés
,1705,La Libertad
,1706,San Francisco
,1707,Santa Ana
,1708,Dolores
,1709,San Luis
,1710,Sayaxché
,1711,Melchor de Mencos
,1712,Poptún
,1713,Las Cruces
,1714,El Chal
,1801,Puerto Barrios
,1802,Livingston
,1803,El Estor
,1804,Morales
,1805,Los Amates
,1901,Zacapa
,1902,Estanzuela
,1903,Río Hondo
,1904,Gualán
,1905,Teculután
,1906,Usumatlán
,1907,Cabañas
,1908,San Diego
,1909,La Unión
,1910,Huité
,1911,San Jorge
,2001,Chiquimula
,2002,San José La Arada
,2003,San Juan Ermita
,2004,Jocotán
,2005,Camotán
,2006,Olopa
,2007,Esquipulas
,2008,Concepción Las Minas
,2009,Quetzaltepeque
,2010,San Jacinto
,2011,Ipala
,2101,Jalapa
,2102,San Pedro Pinula
,2103,San Luis Jilotepeque
,2104,San Manuel Chaparrón
,2105,San Carlos Alzatate
,2106,Monjas
,2107,Mataquescuintla
,2201,Jutiapa
,2202,El Progreso
,2203,Santa Catarina Mita
,2204,Agua Blanca
,2205,Asunción Mita
,2206,Yupiltepeque
,2207,Atescatempa
,2208,Jerez
,2209,El Adelanto
,2210,Zapotitlán
,2211,Comapa
,2212,Jalpatagua
,2213,Conguaco
,2214,Moyuta
,2215,Pasaco
,2216,San José Acatempa
,2217,Quesada
Mes de registro,1,Enero
,2,Febrero
,3,Marzo
,4,Abril
,5,Mayo
,6,Junio
,7,Julio
,8,Agosto
,9,Septiembre
,10,Octubre
,11,Noviembre
,12,Diciembre
Año de registro,2021,2022
,2023,2023
Tipo de inscripción,1,Extemporáneo
,2,Judicial
,3,Normal
,4,Notarial
Departamento de ocurrencia,1,Guatemala
,2,El Progreso
,3,Sacatepéquez
,4,Chimaltenango
,5,Escuintla
,6,Santa Rosa
,7,Sololá
,8,Totonicapán
,9,Quetzaltenango
,10,Suchitepéquez
,11,Retalhuleu
,12,San Marcos
,13,Huehuetenango
,14,Quiché
,15,Baja Verapaz
,16,Alta Verapaz
,17,Petén
,18,Izabal
,19,Zacapa
,20,Chiquimula
,21,Jalapa
,22,Jutiapa
Municipio de ocurrencia,0101,Guatemala
,0102,Santa Catarina Pinula
,0103,San José Pinula
,0104,San José del Golfo
,0105,Palencia
,0106,Chinautla
,0107,San Pedro Ayampuc
,0108,Mixco
,0109,San Pedro Sacatepéquez
,0110,San Juan Sacatepéquez
,0111,San Raymundo
,0112,Chuarrancho
,0113,Fraijanes
,0114,Amatitlán
,0115,Villa Nueva
,0116,Villa Canales
,0117,Petapa
,0201,Guastatoya
,0202,Morazán
,0203,San Agustín Acasaguastlán
,0204,San Cristóbal Acasaguastlán
,0205,El Jícaro
,0206,Sansare
,0207,Sanarate
,0208,San Antonio la Paz
,0301,Antigua Guatemala
,0302,Jocotenango
,0303,Pastores
,0304,Sumpango
,0305,Santo Domingo Xenacoj
,0306,Santiago Sacatepéquez
,0307,San Bartolomé Milpas Altas
,0308,San Lucas Sacatepéquez
,0309,Santa Lucía Milpas Altas
,0310,Magdalena Milpas Altas
,0311,Santa María de Jesús
,0312,Ciudad Vieja
,0313,San Miguel Dueñas
,0314,Alotenango
,0315,San Antonio Aguas Calientes
,0316,Santa Catarina Barahona
,0401,Chimaltenango
,0402,San José Poaquil
,0403,San Martín Jilotepeque
,0404,Comalapa
,0405,Santa Apolonia
,0406,Tecpán Guatemala
,0407,Patzún
,0408,Pochuta
,0409,Patzicía
,0410,Santa Cruz Balanyá
,0411,Acatenango
,0412,Yepocapa
,0413,San Andrés Itzapa
,0414,Parramos
,0415,Zaragoza
,0416,El Tejar
,0501,Escuintla
,0502,Santa Lucía Cotzumalguapa
,0503,La Democracia
,0504,Siquinalá
,0505,Masagua
,0506,Tiquisate
,0507,La Gomera
,0508,Guanagazapa
,0509,San José
,0510,Iztapa
,0511,Palín
,0512,San Vicente Pacaya
,0513,Nueva Concepción
,0514,Sipacate
,0601,Cuilapa
,0602,Barberena
,0603,Santa Rosa de Lima
,0604,Casillas
,0605,San Rafael las Flores
,0606,Oratorio
,0607,San Juan Tecuaco
,0608,Chiquimulilla
,0609,Taxisco
,0610,Santa María Ixhuatán
,0611,Guazacapán
,0612,Santa Cruz Naranjo
,0613,Pueblo Nuevo Viñas
,0614,Nueva Santa Rosa
,0701,Sololá
,0702,San José Chacayá
,0703,Santa María Visitación
,0704,Santa Lucía Utatlán
,0705,Nahualá
,0706,Santa Catarina Ixtahuacán
,0707,Santa Clara la Laguna
,0708,Concepción
,0709,San Andrés Semetabaj
,0710,Panajachel
,0711,Santa Catarina Palopó
,0712,San Antonio Palopó
,0713,San Lucas Tolimán
,0714,Santa Cruz la Laguna
,0715,San Pablo la Laguna
,0716,San Marcos la Laguna
,0717,San Juan la Laguna
,0718,San Pedro la Laguna
,0719,Santiago Atitlán
,0801,Totonicapán
,0802,San Cristóbal Totonicapán
,0803,San Francisco el Alto
,0804,San Andrés Xecul
,0805,Momostenango
,0806,Santa María Chiquimula
,0807,Santa Lucía la Reforma
,0808,San Bartolo
,0901,Quetzaltenango
,0902,Salcajá
,0903,Olintepeque
,0904,San Carlos Sija
,0905,Sibilia
,0906,Cabricán
,0907,Cajolá
,0908,San Miguel Siguilá
,0909,Ostuncalco
,0910,San Mateo
,0911,Concepción Chiquirichapa
,0912,San Martín Sacatepéquez
,0913,Almolonga
,0914,Cantel
,0915,Huitán
,0916,Zunil
,0917,Colomba
,0918,San Francisco la Unión
,0919,El Palmar
,0920,Coatepeque
,0921,Génova
,0922,Flores Costa Cuca
,0923,La Esperanza
,0924,Palestina de los Altos
,1001,Mazatenango
,1002,Cuyotenango
,1003,San Francisco Zapotitlán
,1004,San Bernardino
,1005,San José el Idolo
,1006,Santo Domingo Suchitepéquez
,1007,San Lorenzo
,1008,Samayac
,1009,San Pablo Jocopilas
,1010,San Antonio Suchitepéquez
,1011,San Miguel Panán
,1012,San Gabriel
,1013,Chicacao
,1014,Patulul
,1015,Santa Bárbara
,1016,San Juan Bautista
,1017,Santo Tomás la Unión
,1018,Zunilito
,1019,Pueblo Nuevo
,1020,Río Bravo
,1021,San José La Máquina
,1101,Retalhuleu
,1102,San Sebastián
,1103,Santa Cruz Muluá
,1104,San Martín Zapotitlán
,1105,San Felipe
,1106,San Andrés Villa Seca
,1107,Champerico
,1108,Nuevo San Carlos
,1109,El Asintal
,1201,San Marcos
,1202,San Pedro Sacatepéquez
,1203,San Antonio Sacatepéquez
,1204,Comitancillo
,1205,San Miguel Ixtahuacán
,1206,Concepción Tutuapa
,1207,Tacaná
,1208,Sibinal
,1209,Tajumulco
,1210,Tejutla
,1211,San Rafael Pié de la Cuesta
,1212,Nuevo Progreso
,1213,El Tumbador
,1214,El Rodeo
,1215,Malacatán
,1216,Catarina
,1217,Ayutla
,1218,Ocós
,1219,San Pablo
,1220,El Quetzal
,1221,La Reforma
,1222,Pajapita
,1223,Ixchiguán
,1224,San José Ojetenán
,1225,San Cristóbal Cucho
,1226,Sipacapa
,1227,Esquipulas Palo Gordo
,1228,Río Blanco
,1229,San Lorenzo
,1230,La Blanca
,1301,Huehuetenango
,1302,Chiantla
,1303,Malacatancito
,1304,Cuilco
,1305,Nentón
,1306,San Pedro Necta
,1307,Jacaltenango
,1308,Soloma
,1309,Ixtahuacán
,1310,Santa Bárbara
,1311,La Libertad
,1312,La Democracia
,1313,San Miguel Acatán
,1314,San Rafael la Independencia
,1315,Todos Santos Cuchumatán
,1316,San Juan Atitán
,1317,Santa Eulalia
,1318,San Mateo Ixtatán
,1319,Colotenango
,1320,San Sebastián Huehuetenango
,1321,Tectitán
,1322,Concepción Huista
,1323,San Juan Ixcoy
,1324,San Antonio Huista
,1325,San Sebastián Coatán
,1326,Barillas
,1327,Aguacatán
,1328,San Rafael Petzal
,1329,San Gaspar Ixchil
,1330,Santiago Chimaltenango
,1331,Santa Ana Huista
,1332,Unión Cantinil
,1333,Petatán
,1401,Santa Cruz del Quiché
,1402,Chiché
,1403,Chinique
,1404,Zacualpa
,1405,Chajul
,1406,Chichicastenango
,1407,Patzité
,1408,San Antonio Ilotenango
,1409,San Pedro Jocopilas
,1410,Cunén
,1411,San Juan Cotzal
,1412,Joyabaj
,1413,Nebaj
,1414,San Andrés Sajcabajá
,1415,Uspantán
,1416,Sacapulas
,1417,San Bartolomé Jocotenango
,1418,Canillá
,1419,Chicamán
,1420,Ixcán
,1421,Pachalum
,1501,Salamá
,1502,San Miguel Chicaj
,1503,Rabinal
,1504,Cubulco
,1505,Granados
,1506,El Chol
,1507,San Jerónimo
,1508,Purulhá
,1601,Cobán
,1602,Santa Cruz Verapaz
,1603,San Cristóbal Verapaz
,1604,Tactic
,1605,Tamahú
,1606,Tucurú
,1607,Panzós
,1608,Senahú
,1609,San Pedro Carchá
,1610,San Juan Chamelco
,1611,Lanquín
,1612,Cahabón
,1613,Chisec
,1614,Chahal
,1615,Fray Bartolomé de las Casas
,1616,Santa Catalina la Tinta
,1617,Raxruhá
,1701,Flores
,1702,San José
,1703,San Benito
,1704,San Andrés
,1705,La Libertad
,1706,San Francisco
,1707,Santa Ana
,1708,Dolores
,1709,San Luis
,1710,Sayaxché
,1711,Melchor de Mencos
,1712,Poptún
,1713,Las Cruces
,1714,El Chal
,1801,Puerto Barrios
,1802,Livingston
,1803,El Estor
,1804,Morales
,1805,Los Amates
,1901,Zacapa
,1902,Estanzuela
,1903,Río Hondo
,1904,Gualán
,1905,Teculután
,1906,Usumatlán
,1907,Cabañas
,1908,San Diego
,1909,La Unión
,1910,Huité
,1911,San Jorge
,2001,Chiquimula
,2002,San José La Arada
,2003,San Juan Ermita
,2004,Jocotán
,2005,Camotán
,2006,Olopa
,2007,Esquipulas
,2008,Concepción Las Minas
,2009,Quetzaltepeque
,2010,San Jacinto
,2011,Ipala
,2101,Jalapa
,2102,San Pedro Pinula
,2103,San Luis Jilotepeque
,2104,San Manuel Chaparrón
,2105,San Carlos Alzatate
,2106,Monjas
,2107,Mataquescuintla
,2201,Jutiapa
,2202,El Progreso
,2203,Santa Catarina Mita
,2204,Agua Blanca
,2205,Asunción Mita
,2206,Yupiltepeque
,2207,Atescatempa
,2208,Jerez
,2209,El Adelanto
,2210,Zapotitlán
,2211,Comapa
,2212,Jalpatagua
,2213,Conguaco
,2214,Moyuta
,2215,Pasaco
,2216,San José Acatempa
,2217,Quesada
Peso en libras,1,1
,2,2
,3,3
,4,4
,5,5
,6,6
,7,7
,8,8
,9,9
,10,10
,11,11
,99,Ignorado
Peso en onzas,0,0
,1,1
,2,2
,3,3
,4,4
,5,5
,6,6
,7,7
,8,8
,9,9
,10,10
,11,11
,12,12
,13,13
,14,14
,15,15
,99,Ignorado
Día de ocurrencia,1,1
,2,2
,3,3
,4,4
,5,5
,6,6
,7,7
,8,8
,9,9
,10,10
,11,11
,12,12
,13,13
,14,14
,15,15
,16,16
,17,17
,18,18
,19,19
,20,20
,21,21
,22,22
,23,23
,24,24
,25,25
,26,26
,27,27
,28,28
,29,29
,30,30
,31,31
Mes de ocurrencia,1,Enero
,2,Febrero
,3,Marzo
,4,Abril
,5,Mayo
,6,Junio
,7,Julio
,8,Agosto
,9,Septiembre
,10,Octubre
,11,Noviembre
,12,Diciembre
Año ocurrencia,2022,2022
Sexo del recien nacido (a),1,Hombre
,2,Mujer
Tipo de parto,1,Simple
,2,Doble
,3,Triple
,4,Multiple
Via del parto,1,Cesárea
,2,Vaginal
Edad del padre,13,13
,14,14
,15,15
,16,16
,17,17
,18,18
,19,19
,20,20
,21,21
,22,22
,23,23
,24,24
,25,25
,26,26
,27,27
,28,28
,29,29
,30,30
,31,31
,32,32
,33,33
,34,34
,35,35
,36,36
,37,37
,38,38
,39,39
,40,40
,41,41
,42,42
,43,43
,44,44
,45,45
,46,46
,47,47
,48,48
,49,49
,50,50
,51,51
,52,52
,53,53
,54,54
,55,55
,56,56
,57,57
,58,58
,59,59
,60,60
,61,61
,62,62
,63,63
,64,64
,65,65
,66,66
,67,67
,68,68
,69,69
,70,70
,71,71
,72,72
,73,73
,74,74
,75,75
,76,76
,77,77
,78,78
,79,79
,80,80
,81,81
,82,82
,85,85
,86,86
,91,91
,999,Ignorado
País de residencia del padre,10,Turquía
,84,Belice
,124,Canadá
,170,Colombia
,218,Ecuador
,222,El Salvador
,233,Estonia
,320,Guatemala
,340,Honduras
,484,México
,616,Polonia
,630,Puerto Rico
,720,Nicaragua
,724,España
,840,Estados Unidos De América
,9999,Ignorado
Departamento de residencia del padre,1,Guatemala
,2,El Progreso
,3,Sacatepéquez
,4,Chimaltenango
,5,Escuintla
,6,Santa Rosa
,7,Sololá
,8,Totonicapán
,9,Quetzaltenango
,10,Suchitepéquez
,11,Retalhuleu
,12,San Marcos
,13,Huehuetenango
,14,Quiché
,15,Baja Verapaz
,16,Alta Verapaz
,17,Petén
,18,Izabal
,19,Zacapa
,20,Chiquimula
,21,Jalapa
,22,Jutiapa
,23,Extranjero
,99,Ignorado
Municipio de residencia del padre,0101,Guatemala
,0102,Santa Catarina Pinula
,0103,San José Pinula
,0104,San José del Golfo
,0105,Palencia
,0106,Chinautla
,0107,San Pedro Ayampuc
,0108,Mixco
,0109,San Pedro Sacatepéquez
,0110,San Juan Sacatepéquez
,0111,San Raymundo
,0112,Chuarrancho
,0113,Fraijanes
,0114,Amatitlán
,0115,Villa Nueva
,0116,Villa Canales
,0117,Petapa
,0201,Guastatoya
,0202,Morazán
,0203,San Agustín Acasaguastlán
,0204,San Cristóbal Acasaguastlán
,0205,El Jícaro
,0206,Sansare
,0207,Sanarate
,0208,San Antonio la Paz
,0301,Antigua Guatemala
,0302,Jocotenango
,0303,Pastores
,0304,Sumpango
,0305,Santo Domingo Xenacoj
,0306,Santiago Sacatepéquez
,0307,San Bartolomé Milpas Altas
,0308,San Lucas Sacatepéquez
,0309,Santa Lucía Milpas Altas
,0310,Magdalena Milpas Altas
,0311,Santa María de Jesús
,0312,Ciudad Vieja
,0313,San Miguel Dueñas
,0314,Alotenango
,0315,San Antonio Aguas Calientes
,0316,Santa Catarina Barahona
,0401,Chimaltenango
,0402,San José Poaquil
,0403,San Martín Jilotepeque
,0404,Comalapa
,0405,Santa Apolonia
,0406,Tecpán Guatemala
,0407,Patzún
,0408,Pochuta
,0409,Patzicía
,0410,Santa Cruz Balanyá
,0411,Acatenango
,0412,Yepocapa
,0413,San Andrés Itzapa
,0414,Parramos
,0415,Zaragoza
,0416,El Tejar
,0501,Escuintla
,0502,Santa Lucía Cotzumalguapa
,0503,La Democracia
,0504,Siquinalá
,0505,Masagua
,0506,Tiquisate
,0507,La Gomera
,0508,Guanagazapa
,0509,San José
,0510,Iztapa
,0511,Palín
,0512,San Vicente Pacaya
,0513,Nueva Concepción
,0514,Sipacate
,0601,Cuilapa
,0602,Barberena
,0603,Santa Rosa de Lima
,0604,Casillas
,0605,San Rafael las Flores
,0606,Oratorio
,0607,San Juan Tecuaco
,0608,Chiquimulilla
,0609,Taxisco
,0610,Santa María Ixhuatán
,0611,Guazacapán
,0612,Santa Cruz Naranjo
,0613,Pueblo Nuevo Viñas
,0614,Nueva Santa Rosa
,0701,Sololá
,0702,San José Chacayá
,0703,Santa María Visitación
,0704,Santa Lucía Utatlán
,0705,Nahualá
,0706,Santa Catarina Ixtahuacán
,0707,Santa Clara la Laguna
,0708,Concepción
,0709,San Andrés Semetabaj
,0710,Panajachel
,0711,Santa Catarina Palopó
,0712,San Antonio Palopó
,0713,San Lucas Tolimán
,0714,Santa Cruz la Laguna
,0715,San Pablo la Laguna
,0716,San Marcos la Laguna
,0717,San Juan la Laguna
,0718,San Pedro la Laguna
,0719,Santiago Atitlán
,0801,Totonicapán
,0802,San Cristóbal Totonicapán
,0803,San Francisco el Alto
,0804,San Andrés Xecul
,0805,Momostenango
,0806,Santa María Chiquimula
,0807,Santa Lucía la Reforma
,0808,San Bartolo
,0901,Quetzaltenango
,0902,Salcajá
,0903,Olintepeque
,0904,San Carlos Sija
,0905,Sibilia
,0906,Cabricán
,0907,Cajolá
,0908,San Miguel Siguilá
,0909,Ostuncalco
,0910,San Mateo
,0911,Concepción Chiquirichapa
,0912,San Martín Sacatepéquez
,0913,Almolonga
,0914,Cantel
,0915,Huitán
,0916,Zunil
,0917,Colomba
,0918,San Francisco la Unión
,0919,El Palmar
,0920,Coatepeque
,0921,Génova
,0922,Flores Costa Cuca
,0923,La Esperanza
,0924,Palestina de los Altos
,1001,Mazatenango
,1002,Cuyotenango
,1003,San Francisco Zapotitlán
,1004,San Bernardino
,1005,San José el Idolo
,1006,Santo Domingo Suchitepéquez
,1007,San Lorenzo
,1008,Samayac
,1009,San Pablo Jocopilas
,1010,San Antonio Suchitepéquez
,1011,San Miguel Panán
,1012,San Gabriel
,1013,Chicacao
,1014,Patulul
,1015,Santa Bárbara
,1016,San Juan Bautista
,1017,Santo Tomás la Unión
,1018,Zunilito
,1019,Pueblo Nuevo
,1020,Río Bravo
,1021,San José La Máquina
,1101,Retalhuleu
,1102,San Sebastián
,1103,Santa Cruz Muluá
,1104,San Martín Zapotitlán
,1105,San Felipe
,1106,San Andrés Villa Seca
,1107,Champerico
,1108,Nuevo San Carlos
,1109,El Asintal
,1201,San Marcos
,1202,San Pedro Sacatepéquez
,1203,San Antonio Sacatepéquez
,1204,Comitancillo
,1205,San Miguel Ixtahuacán
,1206,Concepción Tutuapa
,1207,Tacaná
,1208,Sibinal
,1209,Tajumulco
,1210,Tejutla
,1211,San Rafael Pié de la Cuesta
,1212,Nuevo Progreso
,1213,El Tumbador
,1214,El Rodeo
,1215,Malacatán
,1216,Catarina
,1217,Ayutla
,1218,Ocós
,1219,San Pablo
,1220,El Quetzal
,1221,La Reforma
,1222,Pajapita
,1223,Ixchiguán
,1224,San José Ojetenán
,1225,San Cristóbal Cucho
,1226,Sipacapa
,1227,Esquipulas Palo Gordo
,1228,Río Blanco
,1229,San Lorenzo
,1230,La Blanca
,1301,Huehuetenango
,1302,Chiantla
,1303,Malacatancito
,1304,Cuilco
,1305,Nentón
,1306,San Pedro Necta
,1307,Jacaltenango
,1308,Soloma
,1309,Ixtahuacán
,1310,Santa Bárbara
,1311,La Libertad
,1312,La Democracia
,1313,San Miguel Acatán
,1314,San Rafael la Independencia
,1315,Todos Santos Cuchumatán
,1316,San Juan Atitán
,1317,Santa Eulalia
,1318,San Mateo Ixtatán
,1319,Colotenango
,1320,San Sebastián Huehuetenango
,1321,Tectitán
,1322,Concepción Huista
,1323,San Juan Ixcoy
,1324,San Antonio Huista
,1325,San Sebastián Coatán
,1326,Barillas
,1327,Aguacatán
,1328,San Rafael Petzal
,1329,San Gaspar Ixchil
,1330,Santiago Chimaltenango
,1331,Santa Ana Huista
,1332,Unión Cantinil
,1333,Petatán
,1401,Santa Cruz del Quiché
,1402,Chiché
,1403,Chinique
,1404,Zacualpa
,1405,Chajul
,1406,Chichicastenango
,1407,Patzité
,1408,San Antonio Ilotenango
,1409,San Pedro Jocopilas
,1410,Cunén
,1411,San Juan Cotzal
,1412,Joyabaj
,1413,Nebaj
,1414,San Andrés Sajcabajá
,1415,Uspantán
,1416,Sacapulas
,1417,San Bartolomé Jocotenango
,1418,Canillá
,1419,Chicamán
,1420,Ixcán
,1421,Pachalum
,1501,Salamá
,1502,San Miguel Chicaj
,1503,Rabinal
,1504,Cubulco
,1505,Granados
,1506,El Chol
,1507,San Jerónimo
,1508,Purulhá
,1601,Cobán
,1602,Santa Cruz Verapaz
,1603,San Cristóbal Verapaz
,1604,Tactic
,1605,Tamahú
,1606,Tucurú
,1607,Panzós
,1608,Senahú
,1609,San Pedro Carchá
,1610,San Juan Chamelco
,1611,Lanquín
,1612,Cahabón
,1613,Chisec
,1614,Chahal
,1615,Fray Bartolomé de las Casas
,1616,Santa Catalina la Tinta
,1617,Raxruhá
,1701,Flores
,1702,San José
,1703,San Benito
,1704,San Andrés
,1705,La Libertad
,1706,San Francisco
,1707,Santa Ana
,1708,Dolores
,1709,San Luis
,1710,Sayaxché
,1711,Melchor de Mencos
,1712,Poptún
,1713,Las Cruces
,1714,El Chal
,1801,Puerto Barrios
,1802,Livingston
,1803,El Estor
,1804,Morales
,1805,Los Amates
,1901,Zacapa
,1902,Estanzuela
,1903,Río Hondo
,1904,Gualán
,1905,Teculután
,1906,Usumatlán
,1907,Cabañas
,1908,San Diego
,1909,La Unión
,1910,Huité
